title,description,keywords,semantic_density,emotion_score,entropy,cliche_score
두 번째 남편,멈출 수 없는 욕망이 빚은 비극으로 억울하게 가족을 잃은 한 여인이 엇갈린 운명과 사랑 속에서 복수에 나서게 되는 격정 로맨스 드라마,"가족, 복수, 여인, 속, 운명, 사랑, 격정, 비극, 로맨스, 욕망",0.9253879,0.999999998,0.1729125235749445,83.12
연애 강요하는 사회,"우리는 꼭 연애를 해야만 행복할까? 연애도 스펙이 되어버린, 연애를 강요하는 사회에서 연애를 하지 않음으로써 행복해지는 스무 살 한사랑의 이야기 [연애 강요하는 사회]","연애, 강요, 행복, 사회, 사랑, 이야기, 스펙",0.9301886,0.5714285702857143,0.3562071855243308,75.44
끝까지 사랑,"지극히 사랑했지만 어쩔 수 없이 이별한 이들이 일생 하나뿐인 사랑을 지켜내고 끝내 행복을 찾아가는 사랑과 성공스토리를 품은 가족, 멜로 드라마","사랑, 스토리, 성공, 행복, 가족, 일생, 멜로, 이별, 드라마",0.90630436,0.6666666653333333,0.2270571177148983,74.45
두근두근 달콤,"사랑하는 사람을 죽음으로 잃어, 혹은 내가 죽게 되어 가족과 헤어져야 하는 사람. 이런 사랑에 아파하는 사람들에게 위로가 되는 이야기","사람, 사랑, 가족, 죽음, 위로, 이야기",0.84845525,0.6666666653333333,0.4354249642966395,74.11
당가주모,비단을 둘러싸고 벌어지는 치열한 사랑이야기,"비단, 치열, 사랑, 이야기",0.8569205,0.499999999,0.6437928113922791,73.57
마스터 - 국수의 신,"뒤틀린 욕망과 치명적인 사랑, 그 부딪침 속에서 시작되는 사람 냄새 가득한 인생기를 담은 드라마","속, 사람, 시작, 사랑, 냄새, 치명, 인생, 욕망, 드라마",0.96197826,0.4444444435555555,0.2270571177148983,72.24
아이가 다섯,가족들의 사랑과 갈등을 통해 진정한 행복을 찾아가는 코믹 가족 드라마,"가족, 행복, 코믹, 갈등, 사랑, 드라마",0.81252515,0.6666666653333333,0.4354249642966395,71.95
미스 몬테크리스토,믿었던 친구들에게 죽음까지 내몰렸던 한 여인이 복수를 다짐하고 돌아와 송두리째 빼앗긴 인생을 되찾는 드라마,"복수, 다짐, 여인, 송두리, 죽음, 인생, 친구, 드라마",0.9134057,0.499999999,0.287585624326253,71.62
결혼 못 하는 데는 이유가 있다,서른 살 전 결혼을 꿈꾸는 여자 주인공과 남다른 비밀을 갖고 있는 상사와의 사랑 이야기를 그린 드라마,"주인공, 상사, 남다르, 비밀, 여자, 사랑, 결혼, 이야기, 전, 드라마",0.98195237,0.3999999992,0.1729125235749445,71.51
누가 공작의 춤을 보았나?(드라마),시대를 초월한 두 사건에 휘말린 부모와 자식의 사랑과 운명이 엇갈리는 궁극의 휴먼 크라임 서스펜스 드라마,"부모, 휴먼, 자식, 궁극, 사랑, 운명, 크라임, 사건, 서스펜스, 초월",0.96437865,0.3999999992,0.1729125235749445,70.46
부부의 세계,사랑이라고 믿었던 부부의 연이 배신으로 끊어지면서 소용돌이에 빠지는 이야기,"연, 배신, 부부, 소용돌이, 사랑, 이야기",0.9094994,0.3333333326666666,0.4354249642966395,69.43
바벨(드라마),복수를 위해 인생을 내던진 검사와 재벌과의 결혼으로 인해 인생이 망가진 여배우의 사랑을 그린 드라마,"인생, 재벌, 결혼, 여배우, 검사, 사랑, 드라마, 복수",0.8755654,0.499999999,0.287585624326253,69.35
나의 이름에게,운명의 이름이 몸에 새겨지는 세계. 그 세계에서 운명으로 얽힌 지우와 재하가 사랑을 찾아 나가는 판타지 로맨스 드라마,"세계, 운명, 사랑, 하, 지우, 판타지, 몸, 로맨스, 이름, 드라마",0.94038415,0.3999999992,0.1729125235749445,69.02
모든 사랑이 끝난다고 해도,사랑의 끝을 경험한 모든 사람에게 전하는 애틋한 사랑 이야기를 그린 드라마,"사랑, 사람, 경험, 이야기, 끝, 드라마",0.9013421,0.3333333326666666,0.4354249642966395,68.95
스케치(드라마),정해진 미래를 바꾸기 위해 고군분투하는 이들의 운명을 담은 수사 액션 드라마,"운명, 수사, 고군분투, 액션, 미래, 드라마",0.89942807,0.3333333326666666,0.4354249642966395,68.83
NEW 사랑과 전쟁,"애절한 사랑, 치열한 전쟁, 그 속에 담긴 우리들의 이야기!","치열, 전쟁, 속, 사랑, 이야기",0.8455594,0.3999999992,0.529119710127072,68.67
사랑의 꽈배기,거짓말 때문에 사랑과 인생이 총체적으로 꼬여버린 막장가족들의 코믹 멜로 휴먼가족 이야기,"가족, 총체, 막장, 멜로, 코믹, 인생, 휴먼, 사랑, 거짓말, 이야기",0.9301016,0.3999999992,0.1729125235749445,68.4
사랑하는 은동아,20년간 한 여자만을 사랑한 어느 남자의 기적 같은 사랑 이야기,"사랑, 기적, 남자, 같, 여자, 이야기",0.8880853,0.3333333326666666,0.4354249642966395,68.15
Eye Love You,마음의 소리를 들을 수 있는 능력을 가진 주인공이 연하의 한국인 유학생과 사랑에 빠지는 판타지 러브스토리,"능력, 사랑, 주인공, 유학, 연하, 한국인, 판타지, 있, 러브, 소리",1.0,0.1999999996,0.1729125235749445,67.59
3인칭 복수,쌍둥이 오빠의 죽음에 얽힌 진실을 찾아 나선 ‘찬미’와 불공평한 세상에 맞서 복수 대행을 시작한 ‘수헌’이 인생을 뒤흔든 충격적인 사건에 휘말리면서 벌어지는 高자극 하이틴 복수 스릴러,"복수, 진실, 찬미, 공평, 자극, 세상, 충격, 사건, 인생, 대행",0.91505504,0.3999999992,0.1729125235749445,67.5
366일(드라마),고교 시절 이루지 못했던 사랑을 이루기 위해 다시 움직이기 시작한 남녀가 뜻밖의 비극에 직면하면서도 사랑하는 사람을 좋아하는 마음을 잃지 않는 러브 스토리 드라마,"사랑, 마음, 사람, 시작, 남녀, 직면, 비극, 뜻밖, 러브, 스토리",0.9146961,0.3999999992,0.1729125235749445,67.48
블러드체인,"30일 안에 피의 유혹을 이겨야만 인간으로 돌아갈 수 있는 하프 뱀파이어 강하린. 그녀를 구할 유일한 방법은 차도현의 치명적인 키스뿐이다. 운명과 사랑, 인간성과 본능 사이... 강하린의 선택은 단 하나다.","인간, 강하, 린, 있, 치명, 현, 키스, 운명, 사랑, 사이",0.9125886,0.3999999992,0.1729125235749445,67.35
