title,장수,repetition_ratio,기본점수,cliche_score,keywords
대왕은죽기를거부했다,2,0.85,67.2,84.2,목숨 요구 대왕 억지 희생 지속 통치 권력자 순번 무시 쇠약 죽음 의미 충성 국민 경제 공장 대신 고령 혼란 음식점 늘어나다 절망 결심 의지 왕비 슬픔 책임감 왕자 변화 거부 나라 구하다 백성
오장군의_발톱,4,0.875,66.08,83.58,평화 농촌 전쟁 죽음 대하다 불안 가족 주변 혼란 가난 소작농 외아들 감정 느끼다 관계 위협 이등병 행진 실수 전통 의무 떠올리다 결심 군대 훈련장 변화 장교 사격 겪다 훈련 침투 군사 능력 제외 야간 충격 심리 지뢰 폭발 개인 고향 생사 갈등 아들 편지 희망 나누다 병사 험난 집배원 징집 사라지다 어머니 당국 착오 인정 운명 알리 동일 공격 임박 전투력 과소평가 방어 두려움 역정보 일선 이동 거짓 정보 태세 위장 병력 체포 최대 취약 지역 전선 임무
홍당무,10,0.96,63.39,82.58,집안 변화 긴장감 아버지 사냥 동행 부재 낮잠 집주인 이러다 상황 가족 기다리다 일상 노동 관계 내부 갈등 불안 나누다 생활 역할 책임 형성 주인공 특별 구성원 성향 신뢰 협력 이름 이야기 식사 예절 내일 엄격 태도 성격 감돌다 어머니 대화 문제 많다 까칠 애정 이해 소송 상대방 가축 유지 견디다 용기 증명 결심 두려움 사이 환경 적응 무산 긴장 조성 보이다 계획 취소 행동 옷차림 곡괭이 들다 예의 수행 장면
가스펠,7,0.929,64.0,82.57,예수 세례 성령 베풀다 신앙 중요 신성 존재 무한 하나님 따르다 철학 탐구 펼치다 인간 영혼 외형 혈통 의존 무대 철망 구원 요청 율법 용서 형제 인물 겸손 기도 분노 갈등 대응 폭력 태도 성내 행위 심판 비유 가르침 탕감 사랑 사람 관계 사마리아 전하다 하늘 죽음 이후 발견 자비 지옥 고통 제사장 외다 도망 치료 부자 보다 드러내다 도덕 교훈 근본 허망 과정 통하다 나라 구하다 씨앗 마음 성장 결점 돌아보다 타인 고백 아버지 아들 회복 따뜻 돌아오다 나누다 구하라 메시지 세상 소금
관객모독,3,0.933,62.97,81.64,전후 독일 문학 사실 반영 비판 언어 연극 현실 예술 표현 젊다 작가 철학 기반 고전 작품 세계 구축 확립 배우 규칙 동시 탐구 독창 명성 변증법 구조 관객 긴장감 혼돈 운율 무대 경계 시작 익숙 소음 의도 몰입 유도 의미 부정 자체 체험 과거 미래 사라지다 자의식 통합 전통 가상 시간 설정 역할 벗어나다 자유 공동체 일정 질서 행동 집중
윌리엄인지-마지막_포옹,4,0.95,62.37,81.37,죄수 과거 농장 긴장감 고조 감옥 현실 죽음 목사 영혼 평안 의미 희망 갈등 빚다 소리 경험 마지막 만찬 살다 비판 사형 받아들이다 모습 세상 기형 주장 아버지 행방불명 냉소 비관 시각 자수 모범 인간 사회 이력 드러나다 가족 소통 부재 모순 법률 체계 믿음 마음 거부 신앙 받다 종교 영생 평화 대하다 두려움 사랑 절망 혐오 혼란 고백 심화 생계 자립 앞두다 죄책감 벗어나다 주인공 불화 드러내다 대화 면회 가족사 공포 부정행위 둘러싸다 아내
꼴찌를_사랑해요-공동창작,7,0.943,62.3,81.16,학생 마찰 혼란 교실 교사 나타나다 전통 예술 고등학교 입학식 희망차다 학교생활 유교 관습 비판 긴장 갈등 암묵 대립 형성 기존 권위주의 소통 방식 교장 창조 방법 제안 학교 생활 방송국 공부 충실 다짐 분위기 조성 정하다 배경 특기 경쟁 긴장감 고조 여학생 자리 떠나다 일부 담배 사이 장난 청소년 오리엔테이션 관심 가수 소방차 문제 교무실 무용 토론 벌어지다 불안 장소 이동 과정 학과 난투극 싸움 신입 흡연 폭력 심 기강 자율 교무 회의 징계 방침 논의 음주 행동 신발 바꿔치기 사건 어지럼증 감돌다 진단 증상 정밀 검사 막히다 주장 숨다 미묘 감정 느끼다 병원 방문 거부
광인들의_축제,9,0.944,62.21,81.1,어려움 겪다 동굴 공존 생존 희망 절망 야망 드러내다 전쟁 열악 환경 독재 계획 장기 미래 식량 부족 무대 협회 회장 신세계 정신병원 정신 병원 환자 통제 주인공 불안 대화 긴장 의심 불러일으키다 피난 과거 갈등 암시 상황 결정 피로 관심 집단 폭력 공포 혼란 심화 증폭 고조 권위 상술 사이 감독관 격화 공격 벗어나다 사람 우려 안전 요구 촛불 긴장감 한편 찔리다 사다 의식 도움 요청 역할 수행 모순 아기 별빛 관리자 피난민 포위 강압 탈출 문제 침략자 위협 심판 모욕 악극단 외부 세우다
정의의_사람들_알베르트_까뮈,9,0.911,62.87,81.09,분석 혁명 세력 대공 암살 극장 주변 지형 위치 계획 수립 신호 체계 마련 조직 거짓말 변장 과정 긴장감 규율 유지 수집 활동 인물 갈등 소외감 경험 신념 사회 건설 모순 동료 테러 참여 책임감 독특 성향 살인 수단 조직원 폭탄 증오심 임무 직전 준비 긴장 고귀 실현 결의 복잡 감정 느끼다 나타나다 정보 죽음 기다리다 어린아이 향하다 투척 체포 작전 좌절 사이 희생 두려움 죄책감 살해 결정 목표 충돌 발생 혁명가 재판 감옥 윤리 문제 테러리스트 깊다 부끄러움 공포 한계 책임 무게 고백 현장 역할 기여 제외 이틀 실패
나는_누구냐,9,0.956,61.93,81.04,고백 아버지 죽다 영정 모시다 전통 김창숙 어리다 강하다 성격 생활 어머니 엄격 예법 대하 가족 관계 회상 이러다 경험 인격 갈등 체포 청년 절망 향하다 일본 순사 분노 저항 결심 기존 위기 선비 젊다 선택 상투 학문 태도 신발 반항 유림 지도자 독립운동 망설이다 기미 독립 급변 민족 대표 시위 교육 사업 참여 사이 분열 의견 병환 충격 자책 명단 제외 상해 운동가 부당 간섭 비판 동료 사망 비극 파리 평화 회의 나라 위하다 헌신 고난 두려움 극복 장서 번역 우편 계획 차질 조선 망명 중국 혁명가 손문 밀정 의심 고향 방문 학생 열악 의원 활동 모친 투쟁 위험 사살 사건 환경 개선 슬픔 공인 책임
